Time (ms),IMU,PWM,TOF
25789.0,0.0,0,440.0
26787.0,17.0,0,444.0
27019.0,37.0,0,459.0
27441.0,58.0,0,583.0
28307.0,77.0,0,523.0
29840.0,97.0,0,419.0
31596.0,117.0,0,395.0
32188.0,137.0,0,460.0
33053.0,157.0,0,637.0
33677.0,177.0,0,1071.0
36757.0,197.0,0,2482.0
37523.0,217.0,0,3015.0
39761.0,237.0,0,708.0
40741.0,257.0,0,475.0
41279.0,277.0,0,430.0
41667.0,297.0,0,1721.0
42198.0,317.0,0,1075.0
43346.0,337.0,0,642.0
