Time (ms),Distance (mm),PWM
34776.0,1460.0,-92,1460.0
34783.0,1460.0,-92,1460.0
34796.0,1460.0,-92,1460.0
34806.0,1460.0,-92,1460.0
34821.0,1460.0,-92,1460.0
34832.0,1460.0,-92,1460.0
34849.0,1460.0,-92,1460.0
34866.0,1460.0,-92,1460.0
34882.0,1460.0,-92,1460.0
34893.0,1460.0,-92,1460.0
34909.0,1460.0,-92,1460.0
34919.0,1460.0,-92,1460.0
34931.0,1460.0,-92,1460.0
34937.0,1460.0,-92,1460.0
34951.0,1460.0,-92,1460.0
34961.0,1460.0,-92,1460.0
34972.0,1460.0,-92,1460.0
34989.0,1460.0,-92,1460.0
35000.0,1460.0,-92,1460.0
35010.0,1460.0,-92,1460.0
35021.0,1460.0,-92,1460.0
35036.0,1460.0,-92,1460.0
35048.0,1460.0,-92,1460.0
35062.0,1460.0,-92,1460.0
35072.0,1460.0,-92,1460.0
35082.0,1460.0,-92,1460.0
35094.0,1460.0,-92,1460.0
35103.0,1460.0,-92,1460.0
35120.0,1469.0,-93,1465.075
35130.0,1469.0,-93,1465.075
35147.0,1465.0,-92,1461.479
35168.0,1465.0,-92,1461.479
35181.0,1465.0,-92,1461.479
35193.0,1465.0,-92,1461.479
35199.0,1465.0,-92,1461.479
35218.0,1465.0,-92,1461.479
35227.0,1465.0,-92,1461.479
35238.0,1465.0,-92,1461.479
35254.0,1465.0,-92,1461.479
35270.0,1465.0,-92,1461.479
35283.0,1470.0,-93,1463.003
35297.0,1470.0,-93,1463.003
35309.0,1477.0,-93,1467.475
35319.0,1477.0,-93,1467.475
35325.0,1477.0,-93,1467.475
35331.0,1477.0,-93,1467.475
35337.0,1477.0,-93,1467.475
35341.0,1477.0,-93,1467.475
35347.0,1477.0,-93,1467.475
35355.0,1477.0,-93,1467.475
35366.0,1477.0,-93,1467.475
35372.0,1477.0,-93,1467.475
35378.0,1477.0,-93,1467.475
35384.0,1477.0,-93,1467.475
35388.0,1477.0,-93,1467.475
35394.0,1477.0,-93,1467.475
35400.0,1477.0,-93,1467.475
35410.0,1477.0,-93,1467.475
35421.0,1477.0,-93,1467.475
35438.0,1463.0,-92,1456.499
35444.0,1463.0,-92,1456.499
35448.0,1463.0,-92,1456.499
35463.0,1460.0,-92,1450.625
35475.0,1460.0,-92,1450.625
35480.0,1460.0,-92,1450.625
35492.0,1458.0,-91,1446.872
35497.0,1458.0,-91,1446.872
35505.0,1458.0,-91,1446.872
35516.0,1458.0,-91,1446.872
35537.0,1458.0,-91,1446.872
35548.0,1458.0,-91,1446.872
35559.0,1458.0,-91,1446.872
35570.0,1458.0,-91,1446.872
35584.0,1458.0,-91,1446.872
35590.0,1458.0,-91,1446.872
35600.0,1458.0,-91,1446.872
35612.0,1449.0,-91,1438.286
35618.0,1449.0,-91,1438.286
35628.0,1449.0,-91,1438.286
35636.0,1461.0,-91,1445.038
35645.0,1461.0,-91,1445.038
35657.0,1461.0,-91,1445.038
35667.0,1461.0,-91,1445.038
35678.0,1461.0,-91,1445.038
35693.0,1461.0,-91,1445.038
35705.0,1461.0,-91,1445.038
35712.0,1461.0,-91,1445.038
35726.0,1461.0,-91,1445.038
35738.0,1461.0,-91,1445.038
35749.0,1461.0,-91,1445.038
35755.0,1461.0,-91,1445.038
35767.0,1461.0,-91,1445.038
35777.0,1461.0,-91,1445.038
35788.0,1461.0,-91,1445.038
35795.0,1461.0,-91,1445.038
35812.0,1461.0,-91,1445.038
35820.0,1461.0,-91,1445.038
35838.0,1461.0,-91,1445.038
35850.0,1461.0,-91,1445.038
35863.0,1461.0,-91,1445.038
35876.0,1461.0,-91,1445.038
35883.0,1461.0,-91,1445.038
35899.0,1461.0,-91,1445.038
35910.0,1461.0,-91,1445.038
35922.0,1461.0,-91,1445.038
35932.0,1461.0,-91,1445.038
35943.0,1461.0,-91,1445.038
35954.0,1461.0,-91,1445.038
35959.0,1461.0,-91,1445.038
35966.0,1461.0,-91,1445.038
35976.0,1461.0,-91,1445.038
35987.0,1461.0,-91,1445.038
36003.0,1461.0,-91,1445.038
36013.0,1461.0,-92,1445.038
36024.0,1461.0,-92,1445.038
36036.0,1461.0,-92,1445.038
36051.0,1461.0,-92,1445.038
36063.0,1461.0,-92,1445.038
36077.0,1461.0,-92,1445.038
36087.0,1461.0,-92,1445.038
36097.0,1461.0,-92,1445.038
36114.0,1461.0,-92,1445.038
36125.0,1461.0,-92,1445.038
36134.0,1461.0,-92,1445.038
36150.0,1461.0,-92,1445.038
36166.0,1461.0,-92,1445.038
36182.0,1461.0,-92,1445.038
36203.0,1461.0,-92,1445.038
36216.0,1461.0,-92,1445.038
36221.0,1461.0,-92,1445.038
36229.0,1461.0,-92,1445.038
36248.0,1461.0,-92,1445.038
36264.0,1461.0,-92,1445.038
36276.0,1461.0,-92,1445.038
36285.0,1461.0,-92,1445.038
36296.0,1461.0,-92,1445.038
36305.0,1461.0,-92,1445.038
36318.0,1461.0,-92,1445.038
36328.0,1461.0,-92,1445.038
36338.0,1461.0,-92,1445.038
36346.0,1461.0,-92,1445.038
36358.0,1471.0,-92,1453.869
36373.0,1471.0,-92,1453.869
36380.0,1471.0,-92,1453.869
36393.0,1471.0,-92,1453.869
36404.0,1471.0,-92,1453.869
36415.0,1471.0,-92,1453.869
36420.0,1471.0,-92,1453.869
36426.0,1471.0,-92,1453.869
36432.0,1471.0,-92,1453.869
36438.0,1471.0,-92,1453.869
36442.0,1471.0,-92,1453.869
36448.0,1471.0,-92,1453.869
36456.0,1471.0,-92,1453.869
36467.0,1471.0,-92,1453.869
36477.0,1471.0,-92,1453.869
36488.0,1471.0,-92,1453.869
36499.0,1471.0,-92,1453.869
36514.0,1471.0,-92,1453.869
36521.0,1471.0,-92,1453.869
36534.0,1471.0,-92,1453.869
36545.0,1471.0,-92,1453.869
36550.0,1471.0,-92,1453.869
36560.0,1471.0,-92,1453.869
36577.0,1471.0,-92,1453.869
36588.0,1471.0,-92,1453.869
36597.0,1471.0,-92,1453.869
36613.0,1471.0,-92,1453.869
36624.0,1471.0,-92,1453.869
36633.0,1471.0,-92,1453.869
36649.0,1471.0,-93,1453.869
36663.0,1471.0,-93,1453.869
36672.0,1471.0,-93,1453.869
36684.0,1465.0,-92,1450.773
36692.0,1465.0,-92,1450.773
36709.0,1465.0,-92,1450.773
36719.0,1465.0,-92,1450.773
36730.0,1465.0,-92,1450.773
36746.0,1465.0,-92,1450.773
36758.0,1465.0,-92,1450.773
36771.0,1465.0,-92,1450.773
36779.0,1465.0,-92,1450.773
36790.0,1465.0,-92,1450.773
36800.0,1465.0,-92,1450.773
36811.0,1465.0,-92,1450.773
36816.0,1465.0,-92,1450.773
36826.0,1465.0,-92,1450.773
36836.0,1465.0,-92,1450.773
36846.0,1465.0,-92,1450.773
36855.0,1465.0,-92,1450.773
36866.0,1465.0,-92,1450.773
36874.0,1465.0,-92,1450.773
36890.0,1465.0,-92,1450.773
36901.0,1465.0,-92,1450.773
36910.0,1465.0,-92,1450.773
36921.0,1465.0,-92,1450.773
36930.0,1465.0,-92,1450.773
36941.0,1465.0,-92,1450.773
36952.0,1465.0,-92,1450.773
36967.0,1465.0,-92,1450.773
36979.0,1465.0,-92,1450.773
