Time (ms),Distance (mm),PWM
30455.0,643.0,-27,643.0
30457.0,643.0,-27,643.0
30473.0,643.0,-27,643.0
30485.0,643.0,-27,643.0
30493.0,643.0,-27,643.0
30504.0,643.0,-27,643.0
30513.0,643.0,-27,643.0
30524.0,643.0,-27,643.0
30532.0,643.0,-27,643.0
30543.0,643.0,-27,643.0
30548.0,643.0,-27,643.0
30556.0,643.0,-27,643.0
30567.0,643.0,-27,643.0
30574.0,643.0,-27,643.0
30586.0,538.0,-20,561.062
30596.0,538.0,-20,561.062
30607.0,538.0,-20,561.062
30612.0,538.0,-20,561.062
30618.0,538.0,-20,561.062
30626.0,538.0,-20,561.062
30647.0,538.0,-20,561.062
30658.0,538.0,-20,561.062
30669.0,538.0,-20,561.062
30684.0,538.0,-20,561.062
30695.0,538.0,-20,561.062
30706.0,538.0,-20,561.062
30717.0,538.0,-20,561.062
30725.0,538.0,-20,561.062
30740.0,538.0,-20,561.062
30751.0,538.0,-20,561.062
30762.0,538.0,-20,561.062
30768.0,538.0,-20,561.062
30783.0,538.0,-20,561.062
30792.0,538.0,-20,561.062
30802.0,538.0,-20,561.062
30814.0,538.0,-20,561.062
30819.0,538.0,-20,561.062
30827.0,538.0,-20,561.062
30839.0,538.0,-20,561.062
30850.0,538.0,-20,561.062
30861.0,538.0,-20,561.062
30876.0,538.0,-20,561.062
30887.0,538.0,-20,561.062
30898.0,538.0,-20,561.062
30907.0,538.0,-20,561.062
30918.0,538.0,-20,561.062
30929.0,538.0,-20,561.062
30940.0,538.0,-20,561.062
30951.0,538.0,-20,561.062
30962.0,538.0,-20,561.062
30967.0,538.0,-20,561.062
30976.0,538.0,-20,561.062
30987.0,538.0,-20,561.062
30997.0,538.0,-20,561.062
31008.0,538.0,-20,561.062
31016.0,538.0,-20,561.062
31027.0,538.0,-20,561.062
31036.0,538.0,-20,561.062
31047.0,538.0,-20,561.062
31055.0,538.0,-20,561.062
31066.0,538.0,-20,561.062
31077.0,538.0,-20,561.062
31089.0,538.0,-20,561.062
31098.0,538.0,-20,561.062
31114.0,538.0,-20,561.062
31135.0,538.0,-20,561.062
31146.0,538.0,-20,561.062
31156.0,538.0,-20,561.062
31167.0,538.0,-20,561.062
31173.0,538.0,-20,561.062
31183.0,538.0,-20,561.062
31192.0,538.0,-20,561.062
31213.0,538.0,-20,561.062
31224.0,538.0,-20,561.062
31235.0,538.0,-20,561.062
31250.0,538.0,-20,561.062
31261.0,538.0,-20,561.062
31272.0,538.0,-20,561.062
31281.0,538.0,-20,561.062
31296.0,538.0,-20,561.062
31308.0,538.0,-20,561.062
31319.0,538.0,-20,561.062
31330.0,538.0,-20,561.062
31339.0,538.0,-20,561.062
31355.0,538.0,-20,561.062
31368.0,538.0,-20,561.062
31379.0,538.0,-20,561.062
31390.0,538.0,-20,561.062
31405.0,538.0,-20,561.062
31418.0,482.0,-15,499.583
31428.0,482.0,-15,499.583
31439.0,482.0,-15,499.583
31450.0,482.0,-15,499.583
31462.0,482.0,-15,499.583
31472.0,482.0,-15,499.583
31487.0,482.0,-15,499.583
31499.0,482.0,-15,499.583
31510.0,482.0,-15,499.583
31521.0,482.0,-15,499.583
31533.0,482.0,-15,499.583
31545.0,482.0,-15,499.583
31556.0,482.0,-15,499.583
31567.0,482.0,-15,499.583
31575.0,482.0,-15,499.583
31586.0,482.0,-15,499.583
31595.0,482.0,-15,499.583
31606.0,482.0,-15,499.583
31615.0,482.0,-15,499.583
31626.0,482.0,-15,499.583
31634.0,482.0,-15,499.583
31645.0,482.0,-15,499.583
31650.0,482.0,-15,499.583
31658.0,482.0,-15,499.583
31669.0,482.0,-15,499.583
31678.0,482.0,-15,499.583
31689.0,482.0,-15,499.583
31695.0,482.0,-15,499.583
31710.0,482.0,-15,499.583
31721.0,482.0,-15,499.583
31730.0,482.0,-15,499.583
31739.0,482.0,-15,499.583
31750.0,482.0,-15,499.583
31755.0,482.0,-15,499.583
31762.0,482.0,-15,499.583
31770.0,482.0,-15,499.583
31778.0,482.0,-15,499.583
31787.0,482.0,-15,499.583
31797.0,482.0,-15,499.583
31807.0,482.0,-15,499.583
31818.0,482.0,-15,499.583
31824.0,482.0,-15,499.583
31835.0,482.0,-15,499.583
31841.0,482.0,-15,499.583
31862.0,482.0,-15,499.583
31873.0,482.0,-15,499.583
31884.0,482.0,-15,499.583
31899.0,482.0,-15,499.583
31910.0,482.0,-15,499.583
31921.0,482.0,-15,499.583
31932.0,482.0,-15,499.583
31942.0,482.0,-15,499.583
31952.0,482.0,-15,499.583
31963.0,482.0,-15,499.583
31974.0,482.0,-15,499.583
31989.0,482.0,-15,499.583
32000.0,482.0,-15,499.583
32011.0,482.0,-15,499.583
32020.0,482.0,-15,499.583
32035.0,482.0,-15,499.583
32047.0,482.0,-15,499.583
32063.0,482.0,-15,499.583
