Time (ms),Distance (mm),Velocity (mm/s)
16263.0,0,2008.0,0.0
16361.0,0,1987.0,-214.285
16459.0,0,2011.0,244.897
16481.0,100,2018.0,318.181
16579.0,100,2033.0,153.061
16678.0,100,1968.0,-656.565
16777.0,100,2011.0,434.343
16876.0,100,2011.0,0.0
16971.0,100,2009.0,-21.052
17072.0,100,1993.0,-158.415
17170.0,100,1916.0,-785.714
17271.0,100,1942.0,257.425
17369.0,100,1970.0,285.714
17468.0,100,1957.0,-131.313
17566.0,100,1930.0,-275.51
17664.0,100,1883.0,-479.591
17767.0,100,1841.0,-407.766
17861.0,100,1811.0,-319.148
17957.0,100,1775.0,-375.0
18058.0,100,1750.0,-247.524
18158.0,100,1690.0,-600.0
18259.0,100,1630.0,-594.059
18354.0,100,1598.0,-336.842
18452.0,100,1537.0,-622.448
18551.0,100,1469.0,-686.868
18649.0,100,1403.0,-673.469
18748.0,100,1326.0,-777.777
18845.0,100,1233.0,-958.762
18948.0,100,1149.0,-815.533
19044.0,100,1053.0,-1000.0
19143.0,100,955.0,-989.898
19239.0,100,844.0,-1156.25
19341.0,100,726.0,-1156.862
19442.0,100,616.0,-1089.108
19540.0,100,505.0,-1132.653
19637.0,100,384.0,-1247.422
19734.0,100,278.0,-1092.783
19834.0,100,215.0,-630.0
19937.0,100,48.0,-1621.359
20031.0,100,0.0,-510.638
20131.0,100,0.0,0.0
20227.0,100,0.0,0.0
20327.0,100,0.0,0.0
20428.0,100,0.0,0.0
20457.0,0,0.0,0.0
20555.0,0,0.0,0.0
20653.0,0,0.0,0.0
20754.0,0,0.0,0.0
20850.0,0,0.0,0.0
20952.0,0,0.0,0.0
21048.0,0,0.0,0.0
21151.0,0,0.0,0.0
21246.0,0,0.0,0.0
21349.0,0,0.0,0.0
21445.0,0,0.0,0.0
