Time (ms),Distance (mm),PWM
2.0,2619.0,255,2619.0
10.0,2619.0,255,2619.0
12.0,2619.0,255,2619.0
15.0,2619.0,255,2619.0
24.0,2590.0,255,2596.369
26.0,2596.0,255,2596.369
33.0,2596.0,255,2596.369
35.0,2596.0,255,2596.369
38.0,2596.0,255,2596.369
48.0,2607.0,255,2609.712
54.0,2609.0,255,2609.712
56.0,2609.0,255,2609.712
66.0,2611.0,255,2620.553
74.0,2620.0,255,2620.553
76.0,2620.0,255,2620.553
83.0,2620.0,255,2620.553
86.0,2620.0,255,2620.553
89.0,2620.0,255,2620.553
92.0,2620.0,255,2620.553
94.0,2620.0,255,2620.553
102.0,2620.0,255,2620.553
104.0,2620.0,255,2620.553
111.0,2620.0,255,2620.553
114.0,2620.0,255,2620.553
121.0,2620.0,255,2620.553
124.0,2620.0,255,2620.553
127.0,2620.0,255,2620.553
129.0,2620.0,255,2620.553
132.0,2620.0,255,2620.553
139.0,2620.0,255,2620.553
141.0,2620.0,255,2620.553
148.0,2620.0,255,2620.553
151.0,2620.0,255,2620.553
154.0,2620.0,255,2620.553
157.0,2620.0,255,2620.553
159.0,2620.0,255,2620.553
166.0,2620.0,255,2620.553
169.0,2620.0,255,2620.553
172.0,2620.0,255,2620.553
174.0,2620.0,255,2620.553
184.0,2588.0,255,2609.406
192.0,2609.0,255,2609.406
194.0,2609.0,255,2609.406
198.0,2609.0,255,2609.406
200.0,2609.0,255,2609.406
202.0,2609.0,255,2609.406
210.0,2609.0,255,2609.406
212.0,2609.0,255,2609.406
216.0,2609.0,255,2609.406
218.0,2609.0,255,2609.406
225.0,2609.0,255,2609.406
228.0,2609.0,255,2609.406
230.0,2609.0,255,2609.406
234.0,2609.0,255,2609.406
236.0,2609.0,255,2609.406
244.0,2609.0,255,2609.406
246.0,2609.0,255,2609.406
250.0,2609.0,255,2609.406
252.0,2609.0,255,2609.406
259.0,2609.0,255,2609.406
262.0,2609.0,255,2609.406
264.0,2609.0,255,2609.406
272.0,2609.0,255,2609.406
274.0,2609.0,255,2609.406
277.0,2609.0,255,2609.406
280.0,2609.0,255,2609.406
287.0,2609.0,255,2609.406
290.0,2609.0,255,2609.406
293.0,2609.0,255,2609.406
295.0,2609.0,255,2609.406
298.0,2609.0,255,2609.406
308.0,2536.0,255,2570.163
315.0,2570.0,255,2570.163
317.0,2570.0,255,2570.163
321.0,2570.0,255,2570.163
323.0,2570.0,255,2570.163
330.0,2570.0,255,2570.163
333.0,2570.0,255,2570.163
335.0,2570.0,255,2570.163
343.0,2570.0,255,2570.163
345.0,2570.0,255,2570.163
350.0,2570.0,255,2570.163
353.0,2570.0,255,2570.163
355.0,2570.0,255,2570.163
358.0,2570.0,255,2570.163
360.0,2570.0,255,2570.163
367.0,2570.0,255,2570.163
370.0,2570.0,255,2570.163
377.0,2570.0,255,2570.163
379.0,2570.0,255,2570.163
386.0,2570.0,255,2570.163
389.0,2570.0,255,2570.163
392.0,2570.0,255,2570.163
395.0,2570.0,255,2570.163
397.0,2570.0,255,2570.163
404.0,2570.0,255,2570.163
407.0,2570.0,255,2570.163
410.0,2570.0,255,2570.163
412.0,2570.0,255,2570.163
416.0,2570.0,255,2570.163
418.0,2570.0,255,2570.163
421.0,2570.0,255,2570.163
431.0,2490.0,255,2528.561
434.0,2528.0,255,2528.561
436.0,2528.0,255,2528.561
444.0,2528.0,255,2528.561
446.0,2528.0,255,2528.561
450.0,2528.0,255,2528.561
452.0,2528.0,255,2528.561
454.0,2528.0,255,2528.561
458.0,2528.0,255,2528.561
460.0,2528.0,255,2528.561
468.0,2528.0,255,2528.561
470.0,2528.0,255,2528.561
474.0,2528.0,255,2528.561
476.0,2528.0,255,2528.561
478.0,2528.0,255,2528.561
486.0,2528.0,255,2528.561
488.0,2528.0,255,2528.561
492.0,2528.0,255,2528.561
494.0,2528.0,255,2528.561
498.0,2528.0,255,2528.561
500.0,2528.0,255,2528.561
502.0,2528.0,255,2528.561
506.0,2528.0,255,2528.561
508.0,2528.0,255,2528.561
516.0,2528.0,255,2528.561
518.0,2528.0,255,2528.561
525.0,2528.0,255,2528.561
528.0,2528.0,255,2528.561
531.0,2528.0,255,2528.561
534.0,2528.0,255,2528.561
536.0,2528.0,255,2528.561
540.0,2528.0,255,2528.561
542.0,2528.0,255,2528.561
549.0,2456.0,255,2495.306
551.0,2495.0,255,2495.306
558.0,2495.0,255,2495.306
561.0,2495.0,255,2495.306
564.0,2495.0,255,2495.306
566.0,2495.0,255,2495.306
574.0,2495.0,255,2495.306
576.0,2495.0,255,2495.306
580.0,2495.0,255,2495.306
582.0,2495.0,255,2495.306
584.0,2495.0,255,2495.306
592.0,2495.0,255,2495.306
594.0,2495.0,255,2495.306
598.0,2495.0,255,2495.306
600.0,2495.0,255,2495.306
607.0,2495.0,255,2495.306
610.0,2495.0,255,2495.306
612.0,2495.0,255,2495.306
618.0,2495.0,255,2495.306
620.0,2495.0,255,2495.306
628.0,2495.0,255,2495.306
630.0,2495.0,255,2495.306
637.0,2495.0,255,2495.306
640.0,2495.0,255,2495.306
647.0,2495.0,255,2495.306
650.0,2495.0,255,2495.306
657.0,2495.0,255,2495.306
659.0,2495.0,255,2495.306
