Time (ms),Distance (mm),PWM
35885.0,1480.0,94,1480.0
35887.0,1480.0,94,1480.0
35898.0,1480.0,94,1480.0
35909.0,1480.0,94,1480.0
35917.0,1480.0,94,1480.0
35928.0,1480.0,94,1480.0
35935.0,1480.0,94,1480.0
35945.0,1480.0,94,1480.0
35954.0,1480.0,94,1480.0
35969.0,1480.0,94,1480.0
35981.0,1480.0,94,1480.0
35992.0,1480.0,94,1480.0
36003.0,1480.0,94,1480.0
36013.0,1461.0,92,1465.173
36023.0,1461.0,92,1465.173
36034.0,1461.0,92,1465.173
36046.0,1461.0,92,1465.173
36057.0,1461.0,93,1465.173
36063.0,1461.0,93,1465.173
36074.0,1461.0,93,1465.173
36085.0,1461.0,93,1465.173
36096.0,1461.0,93,1465.173
36111.0,1461.0,93,1465.173
36122.0,1461.0,93,1465.173
36133.0,1461.0,93,1465.173
36144.0,1461.0,93,1465.173
36152.0,1461.0,93,1465.173
36167.0,1461.0,93,1465.173
36179.0,1461.0,93,1465.173
36188.0,1461.0,93,1465.173
36199.0,1461.0,93,1465.173
36205.0,1461.0,93,1465.173
36216.0,1461.0,93,1465.173
36227.0,1461.0,93,1465.173
36238.0,1461.0,93,1465.173
36255.0,1435.0,91,1443.821
36275.0,1435.0,91,1443.821
36287.0,1435.0,91,1443.821
36298.0,1435.0,91,1443.821
36309.0,1435.0,91,1443.821
36320.0,1435.0,91,1443.821
36325.0,1435.0,91,1443.821
36333.0,1435.0,91,1443.821
36344.0,1435.0,91,1443.821
36351.0,1435.0,91,1443.821
36361.0,1435.0,91,1443.821
36370.0,1435.0,91,1443.821
36381.0,1435.0,91,1443.821
36392.0,1435.0,91,1443.821
36409.0,1406.0,89,1418.2
36419.0,1406.0,89,1418.2
36426.0,1406.0,89,1418.2
36430.0,1406.0,89,1418.2
36435.0,1406.0,89,1418.2
36446.0,1406.0,89,1418.2
36458.0,1406.0,89,1418.2
36469.0,1406.0,89,1418.2
36480.0,1406.0,89,1418.2
36489.0,1406.0,89,1418.2
36500.0,1406.0,89,1418.2
36511.0,1406.0,89,1418.2
36526.0,1406.0,89,1418.2
36535.0,1406.0,89,1418.2
36548.0,1406.0,89,1418.2
36558.0,1406.0,89,1418.2
36568.0,1406.0,89,1418.2
36579.0,1406.0,89,1418.2
36590.0,1406.0,89,1418.2
36601.0,1406.0,89,1418.2
36611.0,1406.0,89,1418.2
36620.0,1406.0,89,1418.2
36631.0,1406.0,89,1418.2
36642.0,1406.0,89,1418.2
36654.0,1406.0,89,1418.2
36663.0,1406.0,89,1418.2
36674.0,1406.0,89,1418.2
36685.0,1406.0,89,1418.2
36696.0,1406.0,89,1418.2
36711.0,1406.0,89,1418.2
36720.0,1406.0,89,1418.2
36730.0,1406.0,89,1418.2
36741.0,1406.0,89,1418.2
36752.0,1406.0,89,1418.2
36763.0,1406.0,89,1418.2
36774.0,1406.0,89,1418.2
36785.0,1406.0,89,1418.2
36800.0,1406.0,89,1418.2
36812.0,1406.0,89,1418.2
36823.0,1406.0,89,1418.2
36838.0,1406.0,89,1418.2
36846.0,1406.0,89,1418.2
36856.0,1406.0,89,1418.2
36867.0,1406.0,89,1418.2
36877.0,1406.0,89,1418.2
36893.0,1406.0,89,1418.2
36912.0,1406.0,89,1418.2
36922.0,1406.0,89,1418.2
36932.0,1406.0,89,1418.2
36944.0,1406.0,89,1418.2
36955.0,1406.0,89,1418.2
36966.0,1406.0,89,1418.2
36977.0,1406.0,89,1418.2
36987.0,1406.0,89,1418.2
36998.0,1406.0,89,1418.2
37009.0,1406.0,89,1418.2
37020.0,1406.0,89,1418.2
37036.0,1406.0,89,1418.2
37045.0,1406.0,89,1418.2
37053.0,1406.0,89,1418.2
37064.0,1406.0,89,1418.2
37070.0,1406.0,89,1418.2
37078.0,1406.0,89,1418.2
37090.0,1406.0,89,1418.2
37101.0,1406.0,89,1418.2
37112.0,1406.0,89,1418.2
37124.0,1406.0,89,1418.2
37135.0,1406.0,89,1418.2
37140.0,1406.0,89,1418.2
37146.0,1406.0,89,1418.2
37166.0,1406.0,89,1418.2
37177.0,1406.0,89,1418.2
37187.0,1406.0,89,1418.2
37203.0,1406.0,89,1418.2
37214.0,1406.0,89,1418.2
37220.0,1406.0,89,1418.2
37229.0,1406.0,89,1418.2
37240.0,1406.0,89,1418.2
37246.0,1406.0,89,1418.2
37257.0,1406.0,89,1418.2
37268.0,1406.0,89,1418.2
37279.0,1406.0,89,1418.2
37293.0,1406.0,89,1418.2
37302.0,1406.0,89,1418.2
37311.0,1406.0,89,1418.2
37317.0,1406.0,89,1418.2
37327.0,1406.0,89,1418.2
37338.0,1406.0,89,1418.2
37347.0,1406.0,89,1418.2
37358.0,1406.0,89,1418.2
37369.0,1406.0,89,1418.2
37375.0,1406.0,89,1418.2
37385.0,1406.0,89,1418.2
37394.0,1406.0,89,1418.2
37409.0,1406.0,90,1418.2
37421.0,1406.0,90,1418.2
37437.0,890.0,57,1014.774
37448.0,890.0,57,1014.774
37458.0,890.0,57,1014.774
37468.0,890.0,57,1014.774
37479.0,856.0,48,896.202
37489.0,856.0,48,896.202
37500.0,856.0,48,896.202
37515.0,856.0,48,896.202
37526.0,856.0,48,896.202
37535.0,856.0,48,896.202
37544.0,856.0,48,896.202
37556.0,856.0,48,896.202
37569.0,856.0,48,896.202
37575.0,856.0,48,896.202
37585.0,856.0,48,896.202
37595.0,856.0,48,896.202
37606.0,856.0,48,896.202
37623.0,748.0,39,785.658
37641.0,748.0,39,785.658
37653.0,748.0,39,785.658
37658.0,748.0,39,785.658
37666.0,748.0,39,785.658
37685.0,748.0,39,785.658
37694.0,748.0,39,785.658
37706.0,748.0,39,785.658
37716.0,748.0,39,785.658
37726.0,748.0,39,785.658
37737.0,748.0,39,785.658
37748.0,748.0,39,785.658
37763.0,748.0,39,785.658
37774.0,629.0,30,668.179
37785.0,629.0,30,668.179
37795.0,629.0,30,668.179
37805.0,629.0,30,668.179
37816.0,629.0,30,668.179
37829.0,629.0,30,668.179
37838.0,629.0,30,668.179
37854.0,629.0,30,668.179
37875.0,629.0,30,668.179
37887.0,629.0,30,668.179
37898.0,629.0,30,668.179
37915.0,525.0,21,560.536
37925.0,525.0,21,560.536
37934.0,525.0,21,560.536
37945.0,525.0,21,560.536
37950.0,525.0,21,560.536
37958.0,525.0,21,560.536
37969.0,525.0,21,560.536
37976.0,525.0,21,560.536
37984.0,525.0,21,560.536
37996.0,525.0,21,560.536
38007.0,525.0,21,560.536
38018.0,525.0,21,560.536
38033.0,525.0,21,560.536
38044.0,525.0,21,560.536
38057.0,419.0,12,453.451
38067.0,419.0,12,453.451
38078.0,419.0,12,453.451
38090.0,419.0,12,453.451
38101.0,419.0,12,453.451
38109.0,419.0,12,453.451
38120.0,419.0,12,453.451
38125.0,419.0,12,453.451
38131.0,419.0,12,453.451
38150.0,419.0,12,453.451
38157.0,419.0,12,453.451
38166.0,419.0,12,453.451
38176.0,419.0,12,453.451
38186.0,419.0,12,453.451
38197.0,419.0,12,453.451
38202.0,419.0,12,453.451
38212.0,419.0,12,453.451
38224.0,419.0,12,453.451
38230.0,419.0,12,453.451
38240.0,419.0,12,453.451
38249.0,419.0,12,453.451
38264.0,419.0,12,453.451
38276.0,419.0,12,453.451
38287.0,419.0,12,453.451
38298.0,419.0,12,453.451
38308.0,419.0,12,453.451
38325.0,419.0,12,453.451
38336.0,419.0,12,453.451
38346.0,419.0,12,453.451
38357.0,419.0,12,453.451
38368.0,419.0,12,453.451
38383.0,419.0,12,453.451
38396.0,221.0,-1,274.804
38406.0,221.0,-1,274.804
38416.0,221.0,-1,274.804
38426.0,221.0,-1,274.804
38437.0,221.0,-1,274.804
38442.0,221.0,-1,274.804
38450.0,221.0,-1,274.804
38461.0,221.0,-1,274.804
38469.0,221.0,-1,274.804
38480.0,221.0,-1,274.804
38485.0,221.0,-1,274.804
38493.0,221.0,-1,274.804
38504.0,221.0,-1,274.804
38511.0,221.0,-1,274.804
38521.0,221.0,-1,274.804
38530.0,221.0,-1,274.804
38545.0,221.0,-1,274.804
