Time (ms),IMU,PWM,TOF
21565.0,2.0,35,2004.0
27314.0,22.0,-49,1951.0
40623.0,47.0,-46,1251.0
47041.0,72.0,-19,630.0
57041.0,97.0,-25,528.0
68081.0,122.0,-24,561.0
74205.0,147.0,-37,748.0
83131.0,172.0,-15,886.0
89091.0,197.0,-33,794.0
93653.0,222.0,-14,945.0
97812.0,247.0,-11,2388.0
102531.0,272.0,-12,2770.0
108358.0,297.0,-11,2513.0
111369.0,322.0,-7,2436.0
114053.0,347.0,-9,847.0
115099.0,357.0,-2,772.0
