2025-03-24 17:17:10,213 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-03-24 17:17:12,976 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-03-24 17:17:43,527 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-03-25 00:06:36,434 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-03-25 00:06:39,621 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-03-25 00:07:19,683 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-03-25 00:08:23,492 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-03-25 00:08:26,568 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-03-25 00:09:50,900 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-03-25 00:17:59,146 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-03-25 00:18:02,453 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-03-25 00:19:38,315 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-03-25 00:20:33,933 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-03-25 00:20:36,922 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-03-25 00:22:22,270 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
