2025-04-10 12:05:09,199 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-10 12:05:09,199 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-10 12:05:09,199 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-10 12:05:09,199 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-10 12:05:09,199 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-10 12:05:09,199 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-10 12:05:33,823 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:07:09,230 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-10 12:07:09,231 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-10 12:07:40,142 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.3 (v3.11.3:f3909b8bc8, Apr  4 2023, 20:12:10) [Clang 13.0.0 (clang-1300.0.29.30)]
2025-04-10 12:07:40,143 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-10 12:07:40,143 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-10 12:07:40,143 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-10 12:07:40,143 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-10 12:07:40,143 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-10 12:07:40,143 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-10 12:08:03,272 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:08:12,138 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-10 12:08:15,854 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-10 12:08:17,499 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-10 12:08:18,790 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-10 12:09:38,692 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:10:39,952 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:12:19,072 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:18:49,528 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
